number,val_loss,train_loss,alpha,dropout,layer_size,lr,num_layers,optimizer,duration_sec,mae,r2,seed,duration
43,2.72515762844705e-07,5.464314334346909e-09,0.0,0.0,969,0.000427197524359191,12,AdamW,3.4911398887634277,0.00041509553557261825,0.8203033208847046,15557,0 days 00:00:03.492413
76,2.7302863259137666e-07,4.011205950726904e-11,0.0,0.0,821,0.0005327253888067255,8,AdamW,3.664424180984497,0.00040195314795710146,0.8199651837348938,15557,0 days 00:00:03.666284
141,2.7467899599287193e-07,6.718850809050991e-09,0.0,0.0,501,6.0301182253335556e-05,9,AdamW,2.4049904346466064,0.0004247769247740507,0.8188769221305847,15557,0 days 00:00:02.406939
24,2.7625293341770885e-07,4.493438510166925e-08,0.0,0.0,1013,3.322966362727075e-05,11,AdamW,2.9028420448303223,0.0004363745101727545,0.8178390264511108,15557,0 days 00:00:02.903930
109,2.773599590000231e-07,7.261036771843976e-10,0.0,0.0,799,0.0008575777298072418,9,AdamW,3.203951597213745,0.0003921685565728694,0.8171091079711914,15557,0 days 00:00:03.205592
53,2.888509129661543e-07,1.4427566086272492e-10,0.0,0.0,909,0.0005281042301422448,9,AdamW,4.204998016357422,0.0004106788837816566,0.8095319271087646,15557,0 days 00:00:04.206222
66,2.895673674174759e-07,8.45549230632514e-09,0.0,0.0,889,7.735961531773691e-05,9,AdamW,2.3229055404663086,0.0004177956434432417,0.8090595006942749,15557,0 days 00:00:02.324361
126,2.9669976697732636e-07,7.008961855348161e-09,0.0,0.0,766,0.0005162263432914772,9,AdamW,1.9140400886535645,0.00041850635898299515,0.8043564558029175,15557,0 days 00:00:01.915338
98,2.99036258866181e-07,1.9806050133297504e-09,0.0,0.0,848,0.0006057631216059145,12,AdamW,2.8357043266296387,0.0004176147049292922,0.8028157353401184,15557,0 days 00:00:02.837400
120,3.034241160548845e-07,1.901466317733025e-09,0.0,0.0,881,0.0005761067566226266,7,AdamW,2.2002511024475098,0.00035113957710564137,0.7999223470687866,15557,0 days 00:00:02.201732
103,3.1133453148868284e-07,3.0926526051189285e-07,0.0,0.0,903,0.0009877794538382513,7,AdamW,2.023059606552124,0.0004559721564874053,0.7947062849998474,15557,0 days 00:00:02.024298
34,3.174147025220009e-07,8.48780823403672e-10,0.0,0.0,894,0.0003407828113808344,10,AdamW,3.5314979553222656,0.00042144517647102475,0.7906970381736755,15557,0 days 00:00:03.533127
96,3.354614364070585e-07,3.053863650848143e-08,0.0,0.0,763,0.000540269988957473,9,AdamW,1.5918993949890137,0.00048634869745001197,0.7787969708442688,15557,0 days 00:00:01.593236
63,3.3650209729785274e-07,1.4169733164592913e-09,0.0,0.0,731,0.0006440135523361311,9,AdamW,1.721196174621582,0.0004513063468039036,0.7781108021736145,15557,0 days 00:00:01.722459
57,3.4649474400794134e-07,2.8861643386335345e-07,0.0,0.0,774,0.00024400496649526027,6,AdamW,0.6355955600738525,0.0004926088149659336,0.7715216875076294,15557,0 days 00:00:00.636717
123,3.541365458659129e-07,1.903252729029692e-11,0.0,0.0,857,0.0006625417249185055,9,AdamW,4.586121082305908,0.00042008631862699986,0.7664826512336731,15557,0 days 00:00:04.587526
146,3.5822969834953255e-07,3.9465319900955365e-10,0.0,0.0,597,0.0007242094199340621,10,AdamW,2.532991647720337,0.00045289500849321485,0.7637836933135986,15557,0 days 00:00:02.533816
115,3.769775389628194e-07,9.027177583220691e-08,0.0,0.0,874,0.0009104618448273383,6,AdamW,2.6765170097351074,0.00044668649206869304,0.751421332359314,15557,0 days 00:00:02.677958
72,4.155057808929996e-07,8.789304217771132e-08,0.0,0.0,612,0.0004907043301638172,6,AdamW,0.5756587982177734,0.0005218981532379985,0.7260158658027649,15557,0 days 00:00:00.576209
68,4.2137020273003145e-07,4.329042369022318e-08,0.0,0.0,496,0.0001789167966084873,7,AdamW,0.47548818588256836,0.0005808246205560863,0.7221488356590271,15557,0 days 00:00:00.475663
52,4.222007419230067e-07,3.1131936140127436e-08,0.0,0.0,833,0.0006709768503914426,6,AdamW,1.4969367980957031,0.0004808237717952579,0.7216011881828308,15557,0 days 00:00:01.498076
